Wall time,Step,Value
1615324976.7216132,0,0.3333333432674408
1615324978.4132,1,0.3854166567325592
1615324980.088167,2,0.3854166567325592
1615324981.760041,3,0.3854166567325592
1615324983.467933,4,0.3854166567325592
1615324985.145241,5,0.375
1615324986.8179038,6,0.4166666567325592
1615324988.507679,7,0.3958333432674408
1615324990.194841,8,0.375
1615324991.901261,9,0.3645833432674408
1615324993.574837,10,0.3854166567325592
1615324995.265971,11,0.3854166567325592
1615324996.942868,12,0.3854166567325592
1615324998.634617,13,0.3854166567325592
1615325000.327222,14,0.3854166567325592
1615325002.00572,15,0.3854166567325592
1615325003.705319,16,0.375
1615325005.413255,17,0.3958333432674408
1615325007.109869,18,0.3854166567325592
1615325008.812204,19,0.3854166567325592
1615325010.501835,20,0.3854166567325592
1615325012.207829,21,0.375
1615325013.901476,22,0.375
1615325015.598721,23,0.375
1615325017.291887,24,0.3958333432674408
1615325018.988699,25,0.3854166567325592
1615325020.665549,26,0.3958333432674408
1615325022.356175,27,0.3854166567325592
1615325024.057991,28,0.3854166567325592
1615325025.733146,29,0.3958333432674408
1615325027.4082692,30,0.3854166567325592
1615325029.1167817,31,0.3958333432674408
1615325030.806975,32,0.3854166567325592
1615325032.47037,33,0.3958333432674408
1615325034.1578,34,0.3854166567325592
1615325035.838593,35,0.3958333432674408
1615325037.540668,36,0.4270833432674408
1615325039.235228,37,0.40625
1615325040.909723,38,0.40625
1615325042.583285,39,0.4270833432674408
1615325044.275187,40,0.4583333432674408
1615325045.980867,41,0.40625
1615325047.678744,42,0.4375
1615325049.36291,43,0.4583333432674408
1615325051.052734,44,0.5104166865348816
1615325052.741169,45,0.4791666567325592
1615325054.417456,46,0.5104166865348816
1615325056.106237,47,0.5208333134651184
1615325057.788518,48,0.4270833432674408
1615325059.482422,49,0.4895833432674408
1615325061.175651,50,0.53125
1615325062.851185,51,0.4895833432674408
1615325064.550692,52,0.4375
1615325066.2362,53,0.5416666865348816
1615325067.926075,54,0.5520833134651184
1615325069.619302,55,0.4791666567325592
1615325071.314295,56,0.5
1615325072.995877,57,0.4583333432674408
1615325074.691955,58,0.4791666567325592
1615325076.392334,59,0.53125
1615325078.07796,60,0.5416666865348816
1615325079.7792552,61,0.4895833432674408
1615325081.472895,62,0.5625
1615325083.153527,63,0.5416666865348816
1615325084.849555,64,0.53125
1615325086.544289,65,0.5
1615325088.2473583,66,0.5208333134651184
1615325089.947683,67,0.5416666865348816
1615325091.630376,68,0.53125
1615325093.311571,69,0.5729166865348816
1615325094.995899,70,0.5104166865348816
1615325096.696637,71,0.5208333134651184
1615325098.3816557,72,0.59375
1615325100.081341,73,0.53125
1615325101.775485,74,0.5625
1615325103.471442,75,0.5520833134651184
1615325105.163052,76,0.5729166865348816
1615325106.847843,77,0.5208333134651184
1615325108.543026,78,0.5729166865348816
1615325110.239778,79,0.5208333134651184
1615325111.92279,80,0.5833333134651184
1615325113.604561,81,0.5416666865348816
1615325115.299482,82,0.5729166865348816
1615325116.991627,83,0.5208333134651184
1615325118.690911,84,0.5833333134651184
1615325120.37108,85,0.5416666865348816
1615325122.062284,86,0.5729166865348816
1615325123.77086,87,0.5625
1615325125.462015,88,0.59375
1615325127.160674,89,0.5625
1615325128.855003,90,0.6041666865348816
1615325130.543373,91,0.6145833134651184
1615325132.234056,92,0.59375
1615325133.915871,93,0.6041666865348816
1615325135.600873,94,0.59375
1615325137.3161232,95,0.6354166865348816
1615325139.003308,96,0.5625
1615325140.701184,97,0.6145833134651184
1615325142.389782,98,0.6354166865348816
1615325144.071459,99,0.6145833134651184
1615325145.763888,100,0.6354166865348816
1615325147.454926,101,0.6145833134651184
1615325149.154296,102,0.6145833134651184
1615325150.85257,103,0.6145833134651184
1615325152.544782,104,0.59375
1615325154.240902,105,0.6041666865348816
1615325155.930014,106,0.59375
1615325157.620319,107,0.625
1615325159.320243,108,0.59375
1615325161.013145,109,0.59375
1615325162.702367,110,0.6354166865348816
1615325164.396267,111,0.59375
1615325166.090708,112,0.6458333134651184
1615325167.7959218,113,0.6666666865348816
1615325169.5205293,114,0.59375
1615325171.2194257,115,0.6354166865348816
1615325172.924239,116,0.65625
1615325174.640758,117,0.6354166865348816
1615325176.3505611,118,0.625
1615325178.065301,119,0.6354166865348816
1615325179.772733,120,0.6458333134651184
1615325181.481088,121,0.6458333134651184
1615325183.18367,122,0.6875
1615325184.896188,123,0.6354166865348816
1615325186.582161,124,0.6666666865348816
1615325188.265765,125,0.65625
1615325189.962008,126,0.6041666865348816
1615325191.660314,127,0.6354166865348816
1615325193.343974,128,0.6979166865348816
1615325195.024405,129,0.6354166865348816
1615325196.719174,130,0.6458333134651184
1615325198.403096,131,0.6666666865348816
1615325200.091316,132,0.625
1615325201.791004,133,0.65625
1615325203.485741,134,0.6354166865348816
1615325205.175527,135,0.6145833134651184
1615325206.879599,136,0.65625
1615325208.571765,137,0.6875
1615325210.274752,138,0.6458333134651184
1615325211.960252,139,0.65625
1615325213.6461477,140,0.6666666865348816
1615325215.350291,141,0.6666666865348816
1615325217.045324,142,0.625
1615325218.744087,143,0.6979166865348816
1615325220.4283657,144,0.6458333134651184
1615325222.128174,145,0.6354166865348816
1615325223.81135,146,0.6875
1615325225.508014,147,0.65625
1615325227.19483,148,0.6458333134651184
1615325228.887996,149,0.7083333134651184
1615325230.581552,150,0.6770833134651184
1615325232.271189,151,0.65625
1615325233.974164,152,0.6354166865348816
1615325235.679536,153,0.6666666865348816
1615325237.377186,154,0.6979166865348816
1615325239.078157,155,0.65625
1615325240.77403,156,0.7083333134651184
1615325242.473065,157,0.65625
1615325244.173315,158,0.6666666865348816
1615325245.878795,159,0.6458333134651184
1615325247.574198,160,0.625
1615325249.267405,161,0.625
1615325250.950571,162,0.7083333134651184
1615325252.635323,163,0.7291666865348816
1615325254.342304,164,0.6770833134651184
1615325256.063045,165,0.7083333134651184
1615325257.755604,166,0.65625
1615325259.463446,167,0.6770833134651184
1615325261.16503,168,0.65625
1615325262.877264,169,0.75
1615325264.576637,170,0.6458333134651184
1615325266.282634,171,0.625
